Link,Question,Follows,Answers
https://answers.yahoo.com/question/index?qid=20131104171628AA5Yqqv,"Are glass pans nonstick, or should I coat it with cooking spray?",0,5
https://answers.yahoo.com/question/index?qid=20150108055835AAV1NT0,How hot should my hydronic (hot water) heating baseboards get?,0," I can reach my hand into my baseboard heaters (hot water) and rest my fingers on the fins without any discomfort -- is this normal?  They are warm, but not piping hot. 

Last night it took 4 hours to raise the temperature 10' (F) in my house -- although it was about 5' outside. 

At the boiler, both the feed pipe and the return pipe feel very hot -- I can't hold them for more than a second.  It just doesn't feel like I am getting that much heat upstairs in the actual baseboards."
https://answers.yahoo.com/question/?qid=1006052115447,"Should I paint, roof or re-gutter the house first?",0,20
https://answers.yahoo.com/question/index?qid=20140419174910AArJtZL,Game of thrones: Should I read the book or watch the TV series?,0,11
https://answers.yahoo.com/question/index?qid=1006053003263,Should you feel guilty if you had a one night stand with a stranger. Should your spouse know it.?,0,26
https://answers.yahoo.com/question/index?qid=1006032613486,What are some reasons that School Uniforms should be abolished?,0,21
https://answers.yahoo.com/question/index?qid=20140125145747AAMQvG7,Should I be upset/mad my boyfriend watches porn?,0," I understand every guy does it. But I feel like it just means that I'm not good enough sexually. Am I wrong to think this? I told him I don't want him to watch it again, but I know I can't stop him. So I'm trying to learn to deal with it. Am I overreacting by getting extremely upset over this? Our relationship is pretty good but I can't help but feel jealous. He sets his search history to private, and I bashed at him for that. Am I being obsessive or should I let him have his privacy? I hate feeling like he is thinking of a porn star while we are getting sexual. I have horrible anxiety and this is my first real relationship and I don't want to ruin it by being controlling. But does his watching porn affect our relationship or how he thinks of me sexually? Does it mean I'm not good enough? Somebody please give me an opinion.-. Thank you."
https://answers.yahoo.com/question/index?qid=20090921224044AAVqjRu,"When dying my hair, should I start with it wet or dry?",0,7
https://answers.yahoo.com/question/index?qid=1006010300911,Handkerchief with monogrammed initial - Should the initial be from the first or last name?,1," I received a set of monogrammed handkerchiefs for xmas - yay!  I'm curious to know whether the initial letter that is embroidered, should be from my first name, or last name?   

So if my name were John Smith, should the letter be ""J"", or ""S""? 

If you could answer in the following format, and include your country, that will help me judge whether it's a regional thing. 

If you have a good explanation as to one over another, go ahead and leave it. 

Example: 
First - Peru 
or 
Last - Austria 

Thanks!"
https://answers.yahoo.com/question/?qid=1006020601968,Should urine be more acidic or alkaline in order to prevent Urinary Tract Infections?,0,4
https://answers.yahoo.com/question/index?qid=1006041028632,How much water should I drink when taking creatine weighing 150lbs.?,0,12
https://answers.yahoo.com/question/index?qid=1006010301712,What should you eat/drink when you throw up?,3,9
https://answers.yahoo.com/question/?qid=1005120800901,Which branch of the military should I join?,11,4
https://answers.yahoo.com/question/index?qid=20151206171815AAMMZMC,What are some reasons why the government should protect workers from unfair and unsafe jobs?,0,2
https://answers.yahoo.com/question/index?qid=20150607235348AAUCvPg,Should I upgrade to Windows 10?,0," I have windows 8.1 (which is way better than windows 8 and I like it) But a free update is available so I was thinking if I should upgrade?  
-Will any of my data get lost? I don't want to set up everything again.  
-Is it true that software upgrade can harm my hardware because my laptop came pre-installed with windows 8.1 so is there a possibility that it won't work well with windows 10? That's my only concern because I don't want the performance of my laptop to be low. Any reviews will be helpful."
https://answers.yahoo.com/question/index?qid=20140420080317AAuV8Fa,Laying new sod - should I compact soil before?,0,5
https://answers.yahoo.com/question/index?qid=20140218105419AAKZxI1,At what age should little children start wearing dangle earrings?,0,8
https://answers.yahoo.com/question/index?qid=1006053129901,Should I bring a gift to a friend's high school graduation party?,0,11
https://answers.yahoo.com/question/index?qid=20091123225915AAPv00c,How should singing correctly feel?,0," You see i need things thoroughly explained in order to learn, so i was wondering if anyone could describe to me exactly how it feels to sing correctly. what has to go on with certain parts of your body i need help! also i was wondering if anyone knows how to get rid of obnoxious mucus in you're throat, i've always had it there and i can feel like a thick layer on my vocal chords all the time help :("
https://answers.yahoo.com/question/index?qid=1006052907878,10 reasons why mothers should not work?,0,14
https://answers.yahoo.com/question/index?qid=1006031607357,What should my temperature be if I'm healthy and what is considered a fever or unhealthy?,1,6
https://answers.yahoo.com/question/index?qid=20111222115122AAzY4xq,How often should you check your motor oil in a car?,1,11
https://answers.yahoo.com/question/index?qid=20121224150323AAsYS1D,Should I spend Christmas with my family or my girlfriend's family?,1," Me and my girlfriend have been together nearly a year now and this will be our first Christmas. The thing is her family and my family celebrate it on the same day (Christmas Eve.. weird but it's our tradition). Anyways, my girlfriend told me that I should spend it with her family, but when I told her I couldn't because my family is spending it on Christmas Eve too, she got mad at me. She said that I have to make a sacrifice and go with her family. I told her that on Christmas day I could be with her, but she said that there's nothing special because there's nothing going on that day and I told her it is special b/c it's Christmas day & any moment should be special as long as we're together. She still said no and stayed angry that I can't go to her family's Christmas get together. I know that when it's a marriage, it's different and there are going to be sacrifices, but right now we're just boyfriend and girlfriend. It is a serious relationship, but I told her that family comes first, until we have our own family together. And she got angry when I said that too and said that she's going to spend Christmas with her family every year even when were married, and that I have to be with her. So I can't spend Christmas with my family. This really has me down, because I'm not going to be able to see her at all this Christmas, because I can't go to her family's Christmas party, and she doesn't want me to spend Christmas day with her (because there's nothing special that day...?), and afterwards she leaves for a week for Christmas eve. 

Anyways, my question(s) are: does my girlfriend have a right to be angry at me? Did I go about this wrong? What should I do to fix this? 

Any advice is greatly appreciated. Thanks so much & Merry Christmas :)"
https://answers.yahoo.com/question/index?qid=20111202143752AA2gLuI,Do you think alimony should be abolished?,0," It is nothing but slavery to men in the highest degree which we supposably ""outlawed"".  

I know men who live in apartments while their ex-wives in live take the majority of the MENS networth for themselves as they sit on their ***. It is nothing but a wealth transfer scam. If your married for more than 10 years, its FOR LIFE. 

Even middle-class men who make hundreds of thousands of dollars are sometimes after all the red tape is done have to live on less than 10,000 dollars. 

No man should have to take this risk just to find the love of his life. Its jumping off a burning bridge and hoping you aren't the one who she is going to destroy for greed. 

Why are men still getting married? There is no ""right woman"". These are imperfect women who are given full power and authority by YOUR OWN SIGNATURE that they have the capability to do this, should she leave or you leave.  

In rare cases women have to pay alimony if they make more money which i'm ALSO against. No one should be PAYING another ADULT if there is a break-up or split. Marriage will continue to decline as tryanny such as these continue and go unchecked. 

Women often say men fear commitment, you would too if you realize the loaded gun thats pointed at your head. 

So what is the benfiets of marriage? For women, pretty much everything. For men, absolutely nothing but slavery. Men should AVOID marriage at all costs for their own saftey. I don't want to hear the ""NAWALT"" card. Even if women aren't like that, its STILL NOT WORTH THE RISK OF DOING THIS ACT."
https://answers.yahoo.com/question/index?qid=20110913165830AA00L5t,How should a belly piercing look after a month?,0,2
https://answers.yahoo.com/question/index?qid=20100505122146AACNbGm,Which one should i join? National Guard or Army Reserves?,0," I want to join the army reserves and i am 17 but my dad says he will refuse to sign unless i choose the guard. What is the difference between the Army Reserves and the National Guard? Ive heard morons say the the Army is "" tougher "" but what is that about? Which one would be more likely to get deployed? Do the National Guard and the reserves do the same thing in the middle east? Please inform me, no stupid answers please"
https://answers.yahoo.com/question/index?qid=20060623130938AAdUpDh,Should i wear underwear under my swim trunks?,0,23
