Link,Question,Follows,Answers
https://answers.yahoo.com/question/index?qid=20131104171628AA5Yqqv,"Are glass pans nonstick, or should I coat it with cooking spray?",0,5
https://answers.yahoo.com/question/index?qid=20150108055835AAV1NT0,How hot should my hydronic (hot water) heating baseboards get?,0,2
https://answers.yahoo.com/question/?qid=1006052115447,"Should I paint, roof or re-gutter the house first?",0,20
https://answers.yahoo.com/question/index?qid=20140419174910AArJtZL,Game of thrones: Should I read the book or watch the TV series?,0,11
https://answers.yahoo.com/question/index?qid=1006053003263,Should you feel guilty if you had a one night stand with a stranger. Should your spouse know it.?,0,26
https://answers.yahoo.com/question/index?qid=1006032613486,What are some reasons that School Uniforms should be abolished?,0,21
https://answers.yahoo.com/question/index?qid=20140125145747AAMQvG7,Should I be upset/mad my boyfriend watches porn?,0,14
https://answers.yahoo.com/question/index?qid=20090921224044AAVqjRu,"When dying my hair, should I start with it wet or dry?",0,7
https://answers.yahoo.com/question/index?qid=1006010300911,Handkerchief with monogrammed initial - Should the initial be from the first or last name?,1,8
https://answers.yahoo.com/question/?qid=1006020601968,Should urine be more acidic or alkaline in order to prevent Urinary Tract Infections?,0,4
https://answers.yahoo.com/question/index?qid=1006041028632,How much water should I drink when taking creatine weighing 150lbs.?,0,12
https://answers.yahoo.com/question/index?qid=1006010301712,What should you eat/drink when you throw up?,3,9
https://answers.yahoo.com/question/?qid=1005120800901,Which branch of the military should I join?,11,4
https://answers.yahoo.com/question/index?qid=20151206171815AAMMZMC,What are some reasons why the government should protect workers from unfair and unsafe jobs?,0,2
https://answers.yahoo.com/question/index?qid=20150607235348AAUCvPg,Should I upgrade to Windows 10?,0,11
https://answers.yahoo.com/question/index?qid=20140420080317AAuV8Fa,Laying new sod - should I compact soil before?,0,5
https://answers.yahoo.com/question/index?qid=20140218105419AAKZxI1,At what age should little children start wearing dangle earrings?,0,8
https://answers.yahoo.com/question/index?qid=1006053129901,Should I bring a gift to a friend's high school graduation party?,0,11
https://answers.yahoo.com/question/index?qid=20091123225915AAPv00c,How should singing correctly feel?,0,3
https://answers.yahoo.com/question/index?qid=1006052907878,10 reasons why mothers should not work?,0,14
https://answers.yahoo.com/question/index?qid=1006031607357,What should my temperature be if I'm healthy and what is considered a fever or unhealthy?,1,6
https://answers.yahoo.com/question/index?qid=20111222115122AAzY4xq,How often should you check your motor oil in a car?,1,11
https://answers.yahoo.com/question/index?qid=20121224150323AAsYS1D,Should I spend Christmas with my family or my girlfriend's family?,1,11
https://answers.yahoo.com/question/index?qid=20111202143752AA2gLuI,Do you think alimony should be abolished?,0,23
https://answers.yahoo.com/question/index?qid=20110913165830AA00L5t,How should a belly piercing look after a month?,0,2
https://answers.yahoo.com/question/index?qid=20100505122146AACNbGm,Which one should i join? National Guard or Army Reserves?,0,8
https://answers.yahoo.com/question/index?qid=20060623130938AAdUpDh,Should i wear underwear under my swim trunks?,0,23
https://answers.yahoo.com/question/?qid=20060809115422AAdvEmO,Replacing Interior doors - What size should I order?,0,9
https://answers.yahoo.com/question/index?qid=20090526135441AA0xP2j,How many times a day should a teenage girl take a bath?,0,10
https://answers.yahoo.com/question/?qid=20060708082643AAivzjI,How long after a spouse dies should you wait to get married again?,0,37
https://answers.yahoo.com/question/?qid=20100422200801AAsWXIB,Should i read The Iliad or The Odyssey first?,0,8
